index, i0, i1,i2, i3, Q
139, 1, 1, 3, 6, 0.0
140, 1, 2, 0, 0, 0.0
141, 1, 2, 0, 1, 0.0
142, 1, 2, 0, 2, 0.0
143, 1, 2, 0, 3, -0.191
144, 1, 2, 0, 4, -1.111110607870586
145, 1, 2, 0, 5, -0.191
146, 1, 2, 0, 6, 0.0
147, 1, 2, 1, 0, 0.0
148, 1, 2, 1, 1, 0.0
149, 1, 2, 1, 2, 0.0
150, 1, 2, 1, 3, 0.05232248096338765
151, 1, 2, 1, 4, -0.18247605560483804
152, 1, 2, 1, 5, 1.4102433017732412
153, 1, 2, 1, 6, 0.0
154, 1, 2, 2, 0, 0.0
155, 1, 2, 2, 1, 0.0
156, 1, 2, 2, 2, 0.0
157, 1, 2, 2, 3, 0.0
158, 1, 2, 2, 4, 9.08760144372389
159, 1, 2, 2, 5, 0.0
160, 1, 2, 2, 6, 0.0
161, 1, 2, 3, 0, 0.0
162, 1, 2, 3, 1, 0.0
163, 1, 2, 3, 2, 0.0
164, 1, 2, 3, 3, -0.8875165887190224
165, 1, 2, 3, 4, -1.1111044185988277
166, 1, 2, 3, 5, -0.5369322007141
167, 1, 2, 3, 6, 0.0
168, 2, 0, 0, 0, 0.0
169, 2, 0, 0, 1, 0.0
170, 2, 0, 0, 2, 0.0
171, 2, 0, 0, 3, -0.588608302649831
172, 2, 0, 0, 4, -1.1091535399808405
173, 2, 0, 0, 5, -0.27381
174, 2, 0, 0, 6, 0.0
175, 2, 0, 1, 0, 0.0
176, 2, 0, 1, 1, 0.0
177, 2, 0, 1, 2, 0.0
178, 2, 0, 1, 3, -0.11053248672089178
179, 2, 0, 1, 4, 0.39320046537041997
180, 2, 0, 1, 5, -0.5995784378576978
181, 2, 0, 1, 6, 0.0
182, 2, 0, 2, 0, 0.0
183, 2, 0, 2, 1, 0.0
184, 2, 0, 2, 2, 0.0
185, 2, 0, 2, 3, 0.0
186, 2, 0, 2, 4, 0.0
187, 2, 0, 2, 5, 0.0
188, 2, 0, 2, 6, 0.0
189, 2, 0, 3, 0, 0.0
190, 2, 0, 3, 1, 0.0
191, 2, 0, 3, 2, 0.0
192, 2, 0, 3, 3, -1.0154283518337492
193, 2, 0, 3, 4, -1.111111111108808
194, 2, 0, 3, 5, -0.5369322007141
195, 2, 0, 3, 6, 0.0
196, 2, 1, 0, 0, 0.0
197, 2, 1, 0, 1, 0.0
198, 2, 1, 0, 2, 0.0
199, 2, 1, 0, 3, -0.8411020271936027
200, 2, 1, 0, 4, 1.0689497653385402
201, 2, 1, 0, 5, -0.6356335554113463
202, 2, 1, 0, 6, 0.0
203, 2, 1, 1, 0, 0.0
204, 2, 1, 1, 1, 0.0
205, 2, 1, 1, 2, 0.0
206, 2, 1, 1, 3, 1.5383793936114027
207, 2, 1, 1, 4, 1.8132197153428555
208, 2, 1, 1, 5, -1.0318762181535277
209, 2, 1, 1, 6, 0.0
210, 2, 1, 2, 0, 0.0
211, 2, 1, 2, 1, 0.0
212, 2, 1, 2, 2, 0.0
213, 2, 1, 2, 3, 0.0
214, 2, 1, 2, 4, 0.0
215, 2, 1, 2, 5, 0.0
216, 2, 1, 2, 6, 0.0
217, 2, 1, 3, 0, 0.0
218, 2, 1, 3, 1, 0.0
219, 2, 1, 3, 2, 0.0
220, 2, 1, 3, 3, -0.984138656919851
221, 2, 1, 3, 4, 1.125345364983657
222, 2, 1, 3, 5, -0.27381
223, 2, 1, 3, 6, 0.0
224, 2, 2, 0, 0, 0.0
225, 2, 2, 0, 1, 0.0
226, 2, 2, 0, 2, 0.0
227, 2, 2, 0, 3, -0.4592764007873057
228, 2, 2, 0, 4, -1.0428114340802537
229, 2, 2, 0, 5, -0.48014527550999997
230, 2, 2, 0, 6, 0.0
231, 2, 2, 1, 0, 0.0
232, 2, 2, 1, 1, 0.0
233, 2, 2, 1, 2, 0.0
234, 2, 2, 1, 3, 0.8722015771638785
235, 2, 2, 1, 4, -0.4232273829735147
236, 2, 2, 1, 5, -1.0567758141670565
237, 2, 2, 1, 6, 0.0
238, 2, 2, 2, 0, 0.0
239, 2, 2, 2, 1, 0.0
240, 2, 2, 2, 2, 0.0
241, 2, 2, 2, 3, 1.0
242, 2, 2, 2, 4, 10.661160517117397
243, 2, 2, 2, 5, 0.0
244, 2, 2, 2, 6, 0.0
245, 2, 2, 3, 0, 0.0
246, 2, 2, 3, 1, 0.0
247, 2, 2, 3, 2, 0.0
248, 2, 2, 3, 3, -1.0456980369964803
249, 2, 2, 3, 4, -0.9560039102108245
250, 2, 2, 3, 5, -0.8143978320808821
251, 2, 2, 3, 6, 0.0
